COORDENAÇÃO	Articular áreas e responsáveis	Jorge Magalhães Vieira
COORDENAÇÃO	Acompanhar execução transversal	Jorge Magalhães Vieira
COORDENAÇÃO	Controlar o trabalho em curso	Jorge Magalhães Vieira
COORDENAÇÃO	Identificar bloqueios, atrasos e dependências	Jorge Magalhães Vieira
COORDENAÇÃO	Reportar à Direção	Jorge Magalhães Vieira
COORDENAÇÃO	Traduzir decisões da Direção em planos de execução	Jorge Magalhães Vieira
COORDENAÇÃO	Garantir follow-up de tarefas e prazos	Jorge Magalhães Vieira
COORDENAÇÃO	Assegurar que nada crítico fica sem responsável	Jorge Magalhães Vieira
COORDENAÇÃO	Coordenar iniciativas que envolvem várias áreas	Jorge Magalhães Vieira
COORDENAÇÃO	Sinalizar riscos operacionais e necessidades de reforço	Jorge Magalhães Vieira
COORDENAÇÃO	Organizar informação de estado da associação	Jorge Magalhães Vieira
COORDENAÇÃO	Preparar sínteses executivas para apoio à decisão	Jorge Magalhães Vieira
ASSOCIADOS	Operacionalizar conversão e retenção de associados	Voluntário Associados
ASSOCIADOS	Validar inscrições	Voluntário Associados
ASSOCIADOS	Fazer onboarding (boas vindas + ativar portal)	Voluntário Associados
ASSOCIADOS	Apoiar associados	Voluntário Associados
ASSOCIADOS	Gerir a relação funcional com os associados	Voluntário Associados
ASSOCIADOS	Acompanhar o ciclo de vida do associado	Voluntário Associados
ASSOCIADOS	Atualizar dados e estados dos associados	Voluntário Associados
ASSOCIADOS	Responder a dúvidas sobre adesão, acesso e funcionamento	Voluntário Associados
ASSOCIADOS	Gerir pedidos de alteração, suspensão ou regularização	Voluntário Associados
ASSOCIADOS	Criar experiências de acolhimento e ativação	Voluntário Associados
ASSOCIADOS	Campanhas de conversão de pré-inscritos em associados	Voluntário Associados
ASSOCIADOS	Identificar causas de abandono ou inatividade	Voluntário Associados
ASSOCIADOS	Segmentar associados para melhor acompanhamento	Voluntário Associados
ASSOCIADOS	Articular com Financeiro os fluxos de quotas e donativos	Voluntário Associados
CIENTÍFICO	Definir prioridades temáticas	Voluntário Científico
CIENTÍFICO	Validar rigor técnico-científico	Voluntário Científico
CIENTÍFICO	Rever conteúdos	Voluntário Científico
CIENTÍFICO	Produzir materiais de referência	Voluntário Científico
CIENTÍFICO	Promover literacia em PHDA	Voluntário Científico
CIENTÍFICO	Definir critérios e posições técnicas	Voluntário Científico
CIENTÍFICO	Garantir qualidade e fiabilidade da informação publicada	Voluntário Científico
CIENTÍFICO	Apoiar produção de FAQs, guias e materiais explicativos	Voluntário Científico
CIENTÍFICO	Delimitar o que a Brainstorm recomenda ou não recomenda	Voluntário Científico
CIENTÍFICO	Apoiar enquadramento técnico de campanhas e iniciativas	Voluntário Científico
CIENTÍFICO	Estruturar temas prioritários para comunicação e formação	Voluntário Científico
CIENTÍFICO	Rever conteúdos sobre saúde, educação, direitos e inclusão	Voluntário Científico
CIENTÍFICO	Apoiar estudos, pareceres e reflexão técnica	Voluntário Científico
CIENTÍFICO	Distinguir evidência, opinião e testemunho pessoal	Voluntário Científico
CIENTÍFICO	Atualizar critérios à luz de nova evidência ou novas necessidades	Voluntário Científico
COMUNICAÇÃO E MARKETING	Gerir marca e identidade	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Planear campanhas	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Gerir redes sociais	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Produzir conteúdos editoriais e de comunicação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Enviar newsletters e email marketing	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Apoiar captação e engagement de associados	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Definir pilares de comunicação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Adaptar mensagens a diferentes públicos	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Coordenar calendários editoriais e de campanhas	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Criar conteúdos de awareness, conversão e retenção	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Desenvolver materiais de divulgação e apresentação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Gerir presença digital corrente da marca	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Criar loops entre redes, site, newsletter e associação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Medir desempenho de campanhas e conteúdos	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Ajustar formatos, tom e CTAs com base nos resultados	Voluntário Marketing
COMUNIDADE WHATSAPP	Organizar a comunidade	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Estruturar grupos temáticos	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Definir regras de participação	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Moderar grupos e interações	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Acolher e encaminhar membros	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Dinamizar participação comunitária	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Gerir a lógica de entrada e permanência nos grupos	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Identificar necessidades emergentes da comunidade	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Encaminhar pessoas para grupos ou recursos adequados	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Prevenir conflitos, desinformação e comportamentos impróprios	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Apoiar moderadores e alinhar critérios de moderação	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Recolher feedback da comunidade	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Transformar sinais da comunidade em inputs para conteúdos, advocacy ou serviços	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Promover sentido de pertença e participação	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Monitorizar saúde e utilidade dos espaços comunitários	Voluntário Comunidade Whatsapp
FINANCEIRO	Criar e gerir orçamento	Voluntário Financeiro
FINANCEIRO	Controlar tesouraria	Voluntário Financeiro
FINANCEIRO	Registar receitas e despesas	Voluntário Financeiro
FINANCEIRO	Gerir quotas e donativos de associados	Voluntário Financeiro
FINANCEIRO	Assegurar obrigações fiscais e contabilísticas	Voluntário Financeiro
FINANCEIRO	Conciliar movimentos financeiros e comprovativos	Voluntário Financeiro
FINANCEIRO	Organizar pagamentos e reembolsos	Voluntário Financeiro
FINANCEIRO	Preparar informação para contabilidade	Voluntário Financeiro
FINANCEIRO	Controlar arquivo administrativo e financeiro	Voluntário Financeiro
FINANCEIRO	Acompanhar execução orçamental	Voluntário Financeiro
FINANCEIRO	Produzir mapas simples de receitas, despesas e saldo	Voluntário Financeiro
FINANCEIRO	Criar alertas para prazos fiscais e pagamentos	Voluntário Financeiro
FINANCEIRO	Assegurar que despesas têm aprovação e documentação	Voluntário Financeiro
FORMAÇÃO	Desenhar oferta formativa	Voluntário Formação
FORMAÇÃO	Estruturar programas e sessões	Voluntário Formação
FORMAÇÃO	Preparar materiais	Voluntário Formação
FORMAÇÃO	Articular formadores	Voluntário Formação
FORMAÇÃO	Executar ações de formação	Voluntário Formação
FORMAÇÃO	Avaliar impacto formativo	Voluntário Formação
FORMAÇÃO	Identificar públicos-alvo prioritários	Voluntário Formação
FORMAÇÃO	Adaptar linguagem e formato ao público	Voluntário Formação
FORMAÇÃO	Criar workshops, webinars e sessões de capacitação	Voluntário Formação
FORMAÇÃO	Organizar calendário formativo	Voluntário Formação
FORMAÇÃO	Preparar guiões, apresentações e suportes pedagógicos	Voluntário Formação
FORMAÇÃO	Recolher avaliações de satisfação e aprendizagem	Voluntário Formação
FORMAÇÃO	Melhorar a oferta com base em feedback	Voluntário Formação
FORMAÇÃO	Apoiar formação interna de voluntários, moderadores e equipa	Voluntário Formação
FORMAÇÃO	Estruturar propostas formativas para escolas, famílias, empresas ou profissionais	Voluntário Formação
FUNDRAISING	Angariar donativos	Voluntário Fundraising
FUNDRAISING	Procurar patrocínios e grants	Voluntário Fundraising
FUNDRAISING	Negociar parcerias	Voluntário Fundraising
FUNDRAISING	Gerir protocolos	Voluntário Fundraising
FUNDRAISING	Desenvolver benefícios para associados	Voluntário Fundraising
FUNDRAISING	Identificar parceiros estratégicos	Voluntário Fundraising
FUNDRAISING	Avaliar alinhamento e risco de potenciais parcerias	Voluntário Fundraising
FUNDRAISING	Preparar propostas de colaboração e contrapartidas	Voluntário Fundraising
FUNDRAISING	Acompanhar execução de protocolos	Voluntário Fundraising
FUNDRAISING	Cultivar relação com apoiantes, mecenas e parceiros	Voluntário Fundraising
FUNDRAISING	Explorar novas fontes de receita não correntes	Voluntário Fundraising
FUNDRAISING	Estruturar campanhas de fundraising	Voluntário Fundraising
FUNDRAISING	Preparar candidaturas a apoio e financiamento	Voluntário Fundraising
IT	Gerir website e landing pages	Tiago Justo
IT	Administrar ferramentas digitais	Tiago Justo
IT	Gerir CRM e bases de dados	Tiago Justo
IT	Implementar integrações e automações	Tiago Justo
IT	Produzir reporting	Tiago Justo
IT	Assegurar qualidade de dados	Tiago Justo
IT	Organizar processos operacionais e base de conhecimento	Tiago Justo
IT	Manter arquitetura digital da operação	Tiago Justo
IT	Testar e implementar novas ferramentas	Tiago Justo
IT	Garantir funcionamento de formulários, fluxos e acessos	Tiago Justo
IT	Documentar processos digitais	Tiago Justo
IT	Apoiar automação de inscrições, comunicação e reporting	Tiago Justo
IT	Organizar informação institucional e operacional em sistemas	Tiago Justo
IT	Criar dashboards e mapas de acompanhamento	Tiago Justo
IT	Apoiar futuros sistemas de IA ou chatbot	Tiago Justo
IT	Reduzir trabalho manual através de desenho de processos	Tiago Justo
IT	Gerir diretório de profissionais	Tiago Justo
LEGAL	Garantir enquadramento jurídico da associação	Voluntário Legal
LEGAL	Rever contratos, protocolos e minutas	Voluntário Legal
LEGAL	Assegurar compliance e RGPD	Voluntário Legal
LEGAL	Validar documentos formais	Voluntário Legal
LEGAL	Acompanhar processos de reconhecimento formal	Voluntário Legal
LEGAL	Rever estatutos, regulamentos e atas	Voluntário Legal
LEGAL	Validar consentimentos, políticas e termos	Voluntário Legal
LEGAL	Avaliar risco jurídico de campanhas, iniciativas e modelos operacionais	Voluntário Legal
LEGAL	Apoiar enquadramento legal de benefícios para associados	Voluntário Legal
LEGAL	Validar disclaimers, diretórios e conteúdos sensíveis	Voluntário Legal
LEGAL	Acompanhar cláusulas de responsabilidade, confidencialidade e uso de marca	Voluntário Legal
LEGAL	Apoiar resposta a incidentes com relevância jurídica	Voluntário Legal
LEGAL	Garantir arquivo organizado de documentação legal relevante	Voluntário Legal
PESSOAS E TALENTO	Recrutar voluntários e colaboradores	Voluntário RH
PESSOAS E TALENTO	Fazer onboarding interno	Voluntário RH
PESSOAS E TALENTO	Distribuir funções	Voluntário RH
PESSOAS E TALENTO	Acompanhar disponibilidade e desempenho	Voluntário RH
PESSOAS E TALENTO	Desenvolver competências	Voluntário RH
PESSOAS E TALENTO	Assegurar passagem de pasta e continuidade	Voluntário RH
PESSOAS E TALENTO	Identificar necessidades de capacidade interna	Voluntário RH
PESSOAS E TALENTO	Mapear competências existentes e em falta	Voluntário RH
PESSOAS E TALENTO	Apoiar integração de novas pessoas na cultura e nos processos	Voluntário RH
PESSOAS E TALENTO	Clarificar papéis e responsabilidades	Voluntário RH
PESSOAS E TALENTO	Reequilibrar carga de trabalho quando necessário	Voluntário RH
PESSOAS E TALENTO	Apoiar retenção e motivação de voluntários	Voluntário RH
PESSOAS E TALENTO	Criar condições mínimas de organização interna	Voluntário RH
PESSOAS E TALENTO	Promover capacitação contínua	Voluntário RH
PESSOAS E TALENTO	Reduzir dependência de pessoas-chave isoladas	Voluntário RH
RELAÇÕES INSTITUCIONAIS	Representar a associação externamente	Frederico
RELAÇÕES INSTITUCIONAIS	Pedir e conduzir reuniões institucionais	Frederico
RELAÇÕES INSTITUCIONAIS	Fazer advocacy	Frederico
RELAÇÕES INSTITUCIONAIS	Participar em consultas públicas	Frederico
RELAÇÕES INSTITUCIONAIS	Propor medidas de inclusão e acomodação	Frederico
RELAÇÕES INSTITUCIONAIS	Relacionar-se com decisores e entidades	Frederico
RELAÇÕES INSTITUCIONAIS	Mapear interlocutores institucionais relevantes	Frederico
RELAÇÕES INSTITUCIONAIS	Preparar propostas e dossiês para reuniões	Frederico
RELAÇÕES INSTITUCIONAIS	Defender interesses da comunidade PHDA em espaços institucionais	Frederico
RELAÇÕES INSTITUCIONAIS	Identificar janelas de oportunidade política	Frederico
RELAÇÕES INSTITUCIONAIS	Acompanhar legislação, medidas e debates relevantes	Frederico
RELAÇÕES INSTITUCIONAIS	Articular com entidades públicas, reguladores, ordens, escolas e hospitais	Frederico
RELAÇÕES INSTITUCIONAIS	Promover reconhecimento da Brainstorm como voz credível	Frederico
RELAÇÕES INSTITUCIONAIS	Transformar necessidades da comunidade em propostas concretas	Frederico
RELAÇÕES INSTITUCIONAIS	Fazer follow-up persistente junto de interlocutores institucionais	Frederico
RP	Gerir comunicação institucional	Voluntário RP
RP	Relacionar-se com imprensa	Voluntário RP
RP	Preparar posicionamentos públicos	Voluntário RP
RP	Apoiar porta-vozes	Voluntário RP
RP	Proteger reputação	Voluntário RP
RP	Responder a temas sensíveis	Voluntário RP
RP	Preparar respostas a pedidos de jornalistas	Voluntário RP
RP	Criar argumentos institucionais e talking points	Voluntário RP
RP	Identificar oportunidades mediáticas relevantes	Voluntário RP
RP	Coordenar mensagens em contextos delicados	Voluntário RP
RP	Apoiar preparação de entrevistas, intervenções e declarações	Voluntário RP
RP	Acompanhar cobertura mediática	Voluntário RP
RP	Corrigir ou clarificar perceções públicas incorretas	Voluntário RP
RP	Assegurar coerência entre visibilidade pública e posicionamento institucional	Voluntário RP
